23729	17	3636250	3608240	hsa00030
2539	X	154547569	154531390	hsa00030
25796	19	17511649	17521288	hsa00030
2821	19	34359718	34402413	hsa00030
414328	9	83623006	83644123	hsa00030
51071	12	15911332	16037381	hsa00030
5211	21	44300053	44327373	hsa00030
5213	12	48105353	48146404	hsa00030
5214	10	3067548	3136805	hsa00030
5226	1	10399064	10420511	hsa00030
5236	1	63593411	63660245	hsa00030
55276	4	37826686	37862937	hsa00030
5631	X	107628510	107651026	hsa00030
5634	X	12791412	12824222	hsa00030
6120	2	210002638	210022260	hsa00030
64080	2	27890387	27781379	hsa00030
6888	11	747464	765012	hsa00030
7086	3	53256022	53224712	hsa00030
729020	10	103245887	103248016	hsa00030
8277	X	154295795	154330350	hsa00030
84076	4	163473754	163471095	hsa00030
8789	9	94593824	94558720	hsa00030
9104	X	47078443	47093313	hsa00030
9563	1	9234774	9271337	hsa00030
10327	1	45550826	45570049	hsa00040
10720	4	69224984	69199951	hsa00040
10941	4	69653247	69588417	hsa00040
231	7	134459239	134442350	hsa00040
27294	19	48932795	48944969	hsa00040
2990	7	65982213	65960684	hsa00040
441282	7	134549110	134579869	hsa00040
51084	13	20525857	20403669	hsa00040
51181	17	82037697	82035858	hsa00040
54490	4	69280475	69295050	hsa00040
54575	2	233636448	233773300	hsa00040
54576	2	233617633	233773300	hsa00040
54577	2	233681901	233773300	hsa00040
54578	2	233691702	233773300	hsa00040
54579	2	233712907	233773300	hsa00040
54600	2	233671898	233773300	hsa00040
54657	2	233718736	233773300	hsa00040
54658	2	233760270	233773300	hsa00040
54659	2	233729042	233773300	hsa00040
55277	1	59296378	59762730	hsa00040
57016	7	134527567	134541412	hsa00040
574537	4	69639642	69588417	hsa00040
6120	2	210002638	210022260	hsa00040
6652	15	45023195	45077185	hsa00040
729020	10	103245887	103248016	hsa00040
729920	7	16421538	16087525	hsa00040
7358	4	39527439	39498755	hsa00040
7360	2	63840969	63891560	hsa00040
7363	4	69526014	69480165	hsa00040
7364	4	69051375	69112987	hsa00040
7365	4	68815994	68832023	hsa00040
7366	4	68670652	68646597	hsa00040
7367	4	68576322	68537173	hsa00040
79799	4	68951804	68928463	hsa00040
9365	13	33016243	33066143	hsa00040
9942	3	38346785	38453041	hsa00040
197258	16	70454595	70480274	hsa00051
2203	9	94640263	94603133	hsa00051
226	16	30064279	30070420	hsa00051
229	9	101435774	101420560	hsa00051
230	17	28576895	28573120	hsa00051
231	7	134459239	134442350	hsa00051
26007	11	61333228	61353426	hsa00051
2762	6	2245605	1623806	hsa00051
29925	3	49723951	49719916	hsa00051
29926	2	219498891	219506989	hsa00051
3098	10	69270000	69401882	hsa00051
3099	2	74834127	74893359	hsa00051
3101	5	176899346	176880869	hsa00051
3795	2	27086772	27100762	hsa00051
4351	15	74890042	74902219	hsa00051
441282	7	134549110	134579869	hsa00051
5207	X	54998789	54932961	hsa00051
5208	1	207034416	207081027	hsa00051
5209	10	6144921	6326637	hsa00051
5210	3	48563136	48517684	hsa00051
5211	21	44300053	44327373	hsa00051
5213	12	48105353	48146404	hsa00051
5214	10	3067548	3136805	hsa00051
5372	22	41589840	41576900	hsa00051
5373	16	8797839	8849325	hsa00051
55556	18	712630	662986	hsa00051
57016	7	134527567	134541412	hsa00051
57103	12	4321213	4360028	hsa00051
6652	15	45023195	45077185	hsa00051
7167	12	6867420	6870948	hsa00051
7264	8	143618048	143612618	hsa00051
80201	10	69220332	69267552	hsa00051
8789	9	94593824	94558720	hsa00051
8790	1	74198242	74208702	hsa00051
130589	2	38666114	38734765	hsa00052
231	7	134459239	134442350	hsa00052
2538	17	42900799	42914438	hsa00052
2548	17	80101581	80119881	hsa00052
2582	1	23800754	23795599	hsa00052
2584	17	75765192	75751469	hsa00052
2592	9	34646675	34651035	hsa00052
2595	15	42273201	42353666	hsa00052
2645	7	44189439	44143213	hsa00052
2683	9	33185089	33104077	hsa00052
2717	X	101407925	101397803	hsa00052
2720	3	33097146	32961108	hsa00052
3098	10	69270000	69401882	hsa00052
3099	2	74834127	74893359	hsa00052
3101	5	176899346	176880869	hsa00052
3906	12	48571845	48567684	hsa00052
